id,title,artist_id,genre,year
1,Short n' Sweet,1,Pop,2024
2,Man’s Best Friend,1,Pop,2025
3,emails i can't send,1,Pop,2022
4,EVOLution,1,Pop,2016
5,Espresso - Single,1,Pop,2024
6,Singular Act I,1,Pop,2018
7,Why - Single,1,Pop,2017
8,Skin - Single,1,Pop,2021
9,Singular Act II,1,Pop,2019
10,Short n' Sweet (Deluxe),1,Pop,2024
11,emails i can't send fwd:,1,Pop,2023
12,Manchild - Single,1,Pop,2025
13,Eyes Wide Open,1,Pop,2014
14,Short n' Sweet (Deluxe),2,Pop,2024
15,The Secret of Us,3,Pop,2024
16,"I miss you, I’m sorry - Single",3,Pop,2020
17,The Secret of Us (Deluxe),3,Pop,2024
18,Good Riddance,3,Pop,2023
19,"Everywhere, Everything - Single",4,Alternative,2023
20,21 - Single,3,Pop,2020
21,Mess It Up - Single,3,Pop,2021
22,Stay - Single,3,Pop,2019
23,Mean It - Single,3,Alternative,2019
24,minor,3,Pop,2020
25,Feels Like - Single,3,Pop,2021
26,I Said I Love You First,5,Pop,2025
27,Brush Fire - Single,3,Pop,2020
28,Good Riddance (Deluxe),3,Pop,2022
29,Pink Pony Club - Single,6,Pop,2020
30,"Good Luck, Babe! - Single",6,Pop,2024
31,The Rise and Fall of a Midwest Princess,6,Pop,2023
32,The Giver - Single,6,Country,2025
33,Love Me Anyway - Single,6,Pop,2020
34,School Nights - Single,6,Alternative,2018
35,School Nights - EP,6,Alternative,2017
36,Bitter - Single,6,Alternative,2018
37,hopeless fountain kingdom (Deluxe),7,Alternative,2017
38,Collage - EP,8,Dance,2016
39,FRIENDS KEEP SECRETS,9,Pop,2018
40,Manic,7,Alternative,2019
41,Badlands (Decade Edition Anthology),7,Alternative,2015
42,Vol. II,7,Alternative,2020
43,BADLANDS (Deluxe Edition),7,Alternative,2015
44,kelsea,10,Country,2020
45,Be Kind - Single,11,Dance,2020
46,MAP OF THE SOUL : PERSONA,12,K-Pop,2019
47,Sing 2 (Original Motion Picture Soundtrack),7,Soundtrack,2021
48,Eastside (Acoustic) - Single,9,Pop,2018
49,Chill Mood,9,Pop,2018
50,Alone (feat. Big Sean & Stefflon Don) - Single,7,Alternative,2017
51,So Close To What,13,Pop,2025
52,I’m The Problem,14,Country,2025
53,F1 The Album,13,Pop,2025
54,she's all i wanna be - Single,13,Pop,2022
55,all the things i never said - EP,13,Pop,2020
56,DRIVE,15,Dance,2022
57,TOO YOUNG TO BE SAD (Apple Music Edition) - EP,13,Pop,2021
58,One Day - Single,13,Pop,2017
59,stupid - Single,13,Pop,2019
60,THINK LATER,13,Pop,2023
61,lie to me - Single,16,Pop,2020
62,i used to think i could fly,13,Pop,2022
63,Teenage Mind - Single,13,Pop,2018
64,Just Keep Watching (From F1® The Movie) - Single,13,Pop,2025
65,vicious,13,Pop,2020
66,rubberband - Single,13,Pop,2021
67,slower (Apple Music Edition) - Single,13,Pop,2021
68,Wishbone,17,Pop,2025
69,Kid Krow,17,Pop,2020
70,Memories - Single,17,Pop,2022
71,Superache,17,Pop,2022
72,People Watching - Single,17,Pop,2021
73,Astronomy - Single,17,Pop,2021
74,Sunset Season - EP,17,Pop,2018
75,Telepath - Single,17,Pop,2021
76,The King - Single,17,Pop,2019
77,Found Heaven,17,Pop,2024
78,The Other Side - Single,17,Pop,2019
79,Blurryface,18,Alternative,2015
80,Suicide Squad: The Album,18,Alternative,2016
81,Trench,18,Alternative,2018
82,Vessel,18,Alternative,2011
83,Breach,18,Alternative,2025
